id,asin
1,B00000JBLH
2,B00000JBLU
3,B00000JBNX
4,B00000JBO8
5,B00000JFNV
6,B00000JZKB
7,B00000K3T0
8,B00001MXVQ
9,B00002NDS2
10,B00002QUKW
11,B000031WDB
12,B000034DLQ
13,B0000365QL
14,B00003CYNU
15,B00004SDB1
16,B00004SUJT
17,B00004TS2I
18,B00004TS2L
19,B00004U8RE
20,B00004VVIX
21,B00004YTPX
22,B00004YV1W
23,B00004Z47L
24,B00004Z498
25,B00004Z4A8
26,B00004Z4BV
27,B00004Z59A
28,B00004Z5DW
29,B00004Z5QI
30,B00004Z5QO
31,B00004Z5QP
32,B00004Z5RA
33,B00004Z5SB
34,B00004Z5SM
35,B00004Z5SN
36,B00004Z5T0
37,B00004Z63V
38,B00004Z64M
39,B00004Z64O
40,B00004Z64U
41,B00004Z69W
42,B00004Z6NA
43,B00004ZAGC
44,B000050FZP
45,B0000538AC
46,B000053HJJ
47,B000059RDW
48,B00005C3YY
49,B00005C55O
50,B00005JAFA
51,B00005MEP6
52,B00005MITU
53,B00005MJS0
54,B00005MO7G
55,B00005QJED
56,B00005S83B
57,B00005T407
58,B00005UKAX
59,B000063SI0
60,B0000645VA
61,B000067V0A
62,B00006881R
63,B000068UWB
64,B000069LI9
65,B000069LIG
66,B00006AMSI
67,B00006B7UW
68,B00006B7V9
69,B00006B80P
70,B00006B8FZ
71,B00006B8G0
72,B00006B8GI
73,B00006B8HT
74,B00006B8IN
75,B00006B8IO
76,B00006BB7Y
77,B00006HN5Q
78,B00006HO37
79,B00006HPWA
80,B00006HTZ0
81,B00006HX4B
82,B00006I58N
83,B00006I62X
84,B00006I9VJ
85,B00006IA2K
86,B00006IA5D
87,B00006IAKG
88,B00006IAKM
89,B00006IAKZ
90,B00006IALC
91,B00006IALF
92,B00006IALZ
93,B00006IATF
94,B00006IATH
95,B00006IBA3
96,B00006IBAC
97,B00006IBK2
98,B00006IBK8
99,B00006IBLJ
100,B00006IBQ4
101,B00006IBUZ
102,B00006IBV3
103,B00006IBV7
104,B00006IBVA
105,B00006IBVQ
106,B00006IBY8
107,B00006IBY9
108,B00006IC0L
109,B00006IC2L
110,B00006IC3R
111,B00006IC3U
112,B00006IC3Y
113,B00006IC4A
114,B00006IC7H
115,B00006IC7P
116,B00006IC7Q
117,B00006IC89
118,B00006IC8C
119,B00006IC8I
120,B00006IC8Q
121,B00006IC8V
122,B00006ICBH
123,B00006ICDC
124,B00006ICEM
125,B00006ICF7
126,B00006ICSJ
127,B00006IDA3
128,B00006IDM7
129,B00006IDMJ
130,B00006IDRW
131,B00006IDSD
